"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Wu J.M.-T.; Lin S.-H.; Syu J.-H.; Wu M.-E.","Wu, Jimmy Ming-Tai (57192413745); Lin, Sheng-Hao (57217204117); Syu, Jia-Hao (57208629793); Wu, Mu-En (18635615600)","57192413745; 57217204117; 57208629793; 18635615600","Embedded draw-down constraint reward function for deep reinforcement learning","2022","Applied Soft Computing","125","","109150","","","","7","10.1016/j.asoc.2022.109150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133223444&doi=10.1016%2fj.asoc.2022.109150&partnerID=40&md5=3cc262b3ab0dbfa4bee1832eeccd01af","Shandong University of Science and Technology, Qingdao, China; National Taipei University of Technology, Taipei Tech, Taipei, Taiwan; National Taiwan University, Taipei, Taiwan","Wu J.M.-T., Shandong University of Science and Technology, Qingdao, China; Lin S.-H., National Taipei University of Technology, Taipei Tech, Taipei, Taiwan; Syu J.-H., National Taiwan University, Taipei, Taiwan; Wu M.-E., National Taipei University of Technology, Taipei Tech, Taipei, Taiwan","Money management, also known as asset allocation, is constantly at the forefront of research in the trading and investing fields. Since Markowitz established the current portfolio theory in 1952, it has drawn many experts to this intriguing topic. The Kelly criteria are one of the brightest stars among these new techniques. It provides an elegant solution for players and investors to get the best bidding fraction and maximize their logarithm worth over time. However, it ignores the fact that each investor has a different risk tolerance, and the proportion was calculated using the Kelly criterion without taking into account the downside risk. This paper attempts to develop a risk prediction model using a probability-based method and adjust the reward function of deep reinforcement learning to account for the downside risk. To summarize, rather than a naive reward function that solely optimizes the return, the improved deep reinforcement learning may consider an investor's risk tolerance. Finally, we solely analyze the scenario of a single asset and employ DXY, GBP/USD, and EUR/USD as the underlying training and validation data sets. The outcome demonstrates that the adjustment to the reward mechanism produces an interesting performance. When the required MDD (Maximum draw-down) is greater than 3%, the likelihood is on average greater than 70%. © 2022 Elsevier B.V.","BEC; Polariton; Quadrupole exciton; Risk prediction model; WGM","Deep learning; Investments; Learning systems; Reinforcement learning; BEC; Kelly criterion; Polaritons; Quadrupole exciton; Quadrupoles; Reinforcement learnings; Reward function; Risk prediction models; Risk tolerance; WGM; Polariton","M.-E. Wu; National Taipei University of Technology, Taipei Tech, Taipei, Taiwan; email: mnasia1@gmail.com","","Elsevier Ltd","15684946","","","","English","Appl. Soft Comput.","Article","Final","","Scopus","2-s2.0-85133223444"
"Jaimungal S.; Pesenti S.M.; Wang Y.S.; Tatsat H.","Jaimungal, Sebastian (6602313862); Pesenti, Silvana M. (57201270741); Wang, Ye Sheng (57244659900); Tatsat, Hariom (57225211234)","6602313862; 57201270741; 57244659900; 57225211234","Robust Risk-Aware Reinforcement Learning","2022","SIAM Journal on Financial Mathematics","13","1","","213","226","13","16","10.1137/21M144640X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130711516&doi=10.1137%2f21M144640X&partnerID=40&md5=f3d5d182716359a12ee123a5f746f2e0","Department of Statistical Sciences, University of Toronto, Toronto, M5G 1Z5, ON, Canada; Barclays Capital, New York, 10020, NY, United States","Jaimungal S., Department of Statistical Sciences, University of Toronto, Toronto, M5G 1Z5, ON, Canada; Pesenti S.M., Department of Statistical Sciences, University of Toronto, Toronto, M5G 1Z5, ON, Canada; Wang Y.S., Department of Statistical Sciences, University of Toronto, Toronto, M5G 1Z5, ON, Canada; Tatsat H., Barclays Capital, New York, 10020, NY, United States","We present a reinforcement learning (RL) approach for robust optimization of risk-aware performance criteria. To allow agents to express a wide variety of risk-reward profiles, we assess the value of a policy using rank dependent expected utility (RDEU). RDEU allows agents to seek gains, while simultaneously protecting themselves against downside risk. To robustify optimal policies against model uncertainty, we assess a policy not by its distribution but rather by the worst possible distribution that lies within a Wasserstein ball around it. Thus, our problem formulation may be viewed as an actor/agent choosing a policy (the outer problem) and the adversary then acting to worsen the performance of that strategy (the inner problem). We develop explicit policy gradient formulae for the inner and outer problems and show their efficacy on three prototypical financial problems: robust portfolio allocation, benchmark optimization, and statistical arbitrage. © 2022 Society for Industrial and Applied Mathematics","portfolio optimization; reinforcement learning; risk measures; robust optimization; statistical arbitrage; Wasserstein distance","","","","Society for Industrial and Applied Mathematics Publications","1945497X","","","","English","SIAM J. Financ. Math.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85130711516"
"Gim D.; Park H.","Gim, Daeyung (57222186831); Park, Hyungbin (56589214600)","57222186831; 56589214600","A DEEP LEARNING ALGORITHM FOR OPTIMAL INVESTMENT STRATEGIES UNDER MERTON’S FRAMEWORK","2022","Journal of the Korean Mathematical Society","59","2","","311","335","24","0","10.4134/JKMS.j210168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126461341&doi=10.4134%2fJKMS.j210168&partnerID=40&md5=5512f60babf27bd66da2a00a8f28faa0","Division of Derivative Pricing, Korea Asset Pricing, Seoul, 03131, South Korea; Department of Mathematical Sciences and Research Institute of Mathematics, Seoul National University, Seoul, 08826, South Korea","Gim D., Division of Derivative Pricing, Korea Asset Pricing, Seoul, 03131, South Korea; Park H., Department of Mathematical Sciences and Research Institute of Mathematics, Seoul National University, Seoul, 08826, South Korea","This paper treats Merton’s classical portfolio optimization problem for a market participant who invests in safe assets and risky assets to maximize the expected utility. When the state process is a d-dimensional Markov diffusion, this problem is transformed into a problem of solving a Hamilton–Jacobi–Bellman (HJB) equation. The main purpose of this paper is to solve this HJB equation by a deep learning algorithm: the deep Galerkin method, first suggested by J. Sirignano and K. Spiliopoulos. We then apply the algorithm to get the solution to the HJB equation and compare with the result from the finite difference method. © 2022.","Deep Galerkin method; Deep learning algorithm; Merton problem; Optimal investment","","","","Korean Mathematical Society","03049914","","","","English","J. Korean Math. Soc.","Article","Final","","Scopus","2-s2.0-85126461341"
"Jaisson T.","Jaisson, Thibault (56528401900)","56528401900","Deep differentiable reinforcement learning and optimal trading","2022","Quantitative Finance","22","8","","1429","1443","14","3","10.1080/14697688.2022.2062431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131404091&doi=10.1080%2f14697688.2022.2062431&partnerID=40&md5=d43513be556f4ae727f7aa622e0b405a","Pictet Asset Management Ltd, Geneva, Switzerland","Jaisson T., Pictet Asset Management Ltd, Geneva, Switzerland","In many reinforcement learning applications, the underlying environment reward and transition functions are explicitly known differentiable functions. This enables us to use recent research which applies machine learning tools to stochastic control to find optimal action functions. In this paper, we define differentiable reinforcement learning as a particular case of this research. We find that incorporating deep learning in this framework leads to more accurate and stable solutions than those obtained from more generic actor critic algorithms. We apply this deep differentiable reinforcement learning (DDRL) algorithm to the problem of one asset optimal trading strategies in various environments where the market dynamics are known. Thanks to the stability of this method, we are able to efficiently find optimal strategies for complex multi-scale market models. We also extend these methods to simultaneously find optimal action functions for a wide range of environment parameters. This makes it applicable to real life financial signals and portfolio optimization where the expected return has multiple time scales. In the case of a slow and a fast alpha signal, we find that the optimal trading strategy consists in using the fast signal to time the trades associated to the slow signal. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","Deep learning; Differentiable; Dynamic programming; Multi-scale signals; Optimal trading; Reinforcement learning; Stochastic control","","T. Jaisson; Pictet Asset Management Ltd, Geneva, Switzerland; email: tjaisson@pictet.com","","Routledge","14697688","","","","English","Quant. Financ.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85131404091"
"De Nard G.; Hediger S.; Leippold M.","De Nard, Gianluca (57215704877); Hediger, Simon (57219492977); Leippold, Markus (56385955900)","57215704877; 57219492977; 56385955900","Subsampled factor models for asset pricing: The rise of Vasa","2022","Journal of Forecasting","41","6","","1217","1247","30","1","10.1002/for.2859","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127957295&doi=10.1002%2ffor.2859&partnerID=40&md5=54120c7c7487b97c8fccb6b4c8f77d40","Department of Banking and Finance, University of Zurich, Zurich, Switzerland","De Nard G., Department of Banking and Finance, University of Zurich, Zurich, Switzerland; Hediger S., Department of Banking and Finance, University of Zurich, Zurich, Switzerland; Leippold M., Department of Banking and Finance, University of Zurich, Zurich, Switzerland","We propose a new method, variable subsample aggregation (VASA), for equity return prediction using a large-dimensional set of factors. To demonstrate the effectiveness, robustness, and dimension reduction power of VASA, we perform a comparative analysis between state-of-the-art machine learning algorithms. As a performance measure, we explore not only the global predictive but also the stock-specific (Formula presented.) 's and their distribution. While the global (Formula presented.) reflects the average forecasting accuracy, we find that high variability in stock-specific (Formula presented.) 's can be detrimental for the portfolio performance. Since VASA shows minimal variability, portfolios formed on this method outperform the portfolios based on random forests and neural nets. © 2022 The Authors. Journal of Forecasting published by John Wiley & Sons Ltd.","large-dimensional factor models; machine learning; return prediction; subagging; subsampling","Costs; Decision trees; Financial markets; Learning algorithms; Machine learning; Asset pricing; Comparative analyzes; Dimension reduction; Factor model; Large-dimensional factor model; Power; Return prediction; State of the art; Subagging; Subsampling; Forecasting","G. De Nard; Department of Banking and Finance, University of Zurich, Zurich, Switzerland; email: gianluca.denard@bf.uzh.ch","","John Wiley and Sons Ltd","02776693","","JOFOD","","English","J Forecast","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85127957295"
"Shi S.; Li J.; Li G.; Pan P.; Chen Q.; Sun Q.","Shi, Si (57194060135); Li, Jianjun (57225123366); Li, Guohui (55713904200); Pan, Peng (55230967500); Chen, Qi (57203281041); Sun, Qing (57694003800)","57194060135; 57225123366; 55713904200; 55230967500; 57203281041; 57694003800","GPM: A graph convolutional network based reinforcement learning framework for portfolio management","2022","Neurocomputing","498","","","14","27","13","13","10.1016/j.neucom.2022.04.105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130096754&doi=10.1016%2fj.neucom.2022.04.105&partnerID=40&md5=1754bdca5554a0758668051b6f2ab327","School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; School of Software Engineering, Huazhong University of Science and Technology, Wuhan, 430074, China; Harbin Branch, China Merchants Bank, China","Shi S., School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Li J., School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Li G., School of Software Engineering, Huazhong University of Science and Technology, Wuhan, 430074, China; Pan P., School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Chen Q., School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; Sun Q., Harbin Branch, China Merchants Bank, China","Portfolio management is a decision-making process of periodically reallocating a certain amount of funds into a portfolio of assets, with the objective of maximizing the profits constrained to a given risk level. Due to its nature of learning from dynamic interactions and planning for long-run performance, reinforcement learning (RL) recently has received much attention in portfolio management. However, most of existing RL-based PM approaches in general only consider price changes of portfolio assets and the implicit correlations between price changes, while ignoring the rich relations between companies in the market, such as two assets in the same sector or two companies have a supplier-customer relation, which are very important for trading decision making. To address these limitations, in this paper, we propose GPM, a novel graph convolutional network-based reinforcement learning framework for portfolio management, which first employs Relational Graph Convolutional Network (R-GCN) to extract asset relational features, and then combines relational features with multi-scale temporal features to make trading decisions for better performance. We also introduce softmax with temperature to increase portfolio diversity, which leads to further increase in profits. Experimental results on two real-world datasets: NASDAQ and NYSE, validate the effectiveness of GPM over state-of-the-art PM methods. Further, more experiments are conducted to evaluate GPM with different graph neural networks and different number of network layers, to explore proper settings for different markets. © 2022 Elsevier B.V.","Company relationship; Graph convolutional network; Portfolio management; Reinforcement learning","Commerce; Convolutional neural networks; Decision making; Graph neural networks; Investments; Profitability; Public relations; Reinforcement learning; Sales; Company relationship; Convolutional networks; Decision-making process; Graph convolutional network; Management IS; Network-based; Portfolio managements; Price changes; Relational features; Risk levels; article; learning; profit; reinforcement (psychology); Convolution","J. Li; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074, China; email: jianjunli@hust.edu.cn","","Elsevier B.V.","09252312","","NRCGE","","English","Neurocomputing","Article","Final","","Scopus","2-s2.0-85130096754"
"Warin X.","Warin, Xavier (12239134100)","12239134100","Deep learning for efficient frontier calculation in finance","2022","Journal of Computational Finance","26","1","","1","36","35","1","10.21314/JCF.2021.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136244112&doi=10.21314%2fJCF.2021.017&partnerID=40&md5=1964068d3f7cbf5bf8b0dabdf835bfad","EDF Lab Département Osiris, 7 Boulevard Gaspard Monge, Palaiseau, 91120, France; Laboratoire de Finance des Marchés de l’Energie (FiME), Université Paris-Dauphine, Pôle Universitaire Léonard de Vinci, La Défense cedex, Paris, 92916, France","Warin X., EDF Lab Département Osiris, 7 Boulevard Gaspard Monge, Palaiseau, 91120, France, Laboratoire de Finance des Marchés de l’Energie (FiME), Université Paris-Dauphine, Pôle Universitaire Léonard de Vinci, La Défense cedex, Paris, 92916, France","We propose deep neural network algorithms to calculate the efficient frontier in mean–variance and mean–conditional value-at-risk (mean–CVaR) portfolio optimization problems. Starting with the mean–variance portfolio optimization problem in the Black–Scholes framework, we first compare the analytical solution with the computed one, and we show the efficiency of the methodology in high dimensions. Adding additional constraints, we compare different formulations and, obtaining the same frontier, show that the “no short selling” and “no borrowing” problem can be solved with all formulations. Then, a new projected feedforward network is shown to be able to deal with some local and global constraints on the weights of the portfolio while outperforming classical penalization methods. We extend our numerical results to assets following the Heston model, and we show that the results obtained in the Black–Scholes method still hold. Finally, we present numerical results for the more difficult mean–CVaR optimization problem, which we show are realistic only for algorithms with a global resolution of the problem. © 2022 Infopro Digital Risk (IP) Limited.","deep neural networks; efficient frontier; finance; mean–conditional value-at-risk; mean–variance","","X. Warin; EDF Lab Département Osiris, Palaiseau, 7 Boulevard Gaspard Monge, 91120, France; email: xavier.warin@edf.fr","","Incisive Media Ltd.","14601559","","","","English","J. Comput. Financ.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85136244112"
"Yi K.; Yang J.; Wang S.; Zhang Z.; Zhang J.; Song J.; Ren X.","Yi, Kan (57280894900); Yang, Jin (56415579000); Wang, Shuangling (37010619400); Zhang, Zhengtong (57651983500); Zhang, Jing (57188712664); Song, Jinqiu (57226578891); Ren, Xiao (57226577480)","57280894900; 56415579000; 37010619400; 57651983500; 57188712664; 57226578891; 57226577480","IntelliPortfolio: Intelligent Portfolio for Enhanced Index Tracking Using Clustering and LSTM","2022","Mathematical Problems in Engineering","2022","","3751452","","","","3","10.1155/2022/3751452","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129029015&doi=10.1155%2f2022%2f3751452&partnerID=40&md5=6c998edf40c252d359040f565819fb20","Science and Technology on Information Systems Engineering Laboratory, Changsha, China; School of Computer Science and Technology, Xidian University, Xi'an, China","Yi K., Science and Technology on Information Systems Engineering Laboratory, Changsha, China; Yang J., School of Computer Science and Technology, Xidian University, Xi'an, China; Wang S., Science and Technology on Information Systems Engineering Laboratory, Changsha, China; Zhang Z., School of Computer Science and Technology, Xidian University, Xi'an, China; Zhang J., School of Computer Science and Technology, Xidian University, Xi'an, China; Song J., School of Computer Science and Technology, Xidian University, Xi'an, China; Ren X., School of Computer Science and Technology, Xidian University, Xi'an, China","Enhanced index tracking (EIT) is an active research area in portfolio management that focuses on adding reliable value relative to the index on the basis of mimicking the behavior of the benchmark index. To solve the EIT problem, many approaches have been proposed. However, it still remains a critical challenge to efficiently generate a portfolio with good quality. In this study, we propose a learning-based approach named IntelliPortfolio for the EIT problem. IntelliPortfolio uses PCA and clustering to select stock and estimates the investment weight for each constituent stock using a long short-term memory (LSTM) network. Two advantages of the proposed algorithm are as follows. (1) It considers both the fundamentals and the price information for stocks and can balance the trade-off between the performance and the diversity of the selected stocks. (2) It uses a LSTM model to estimate investment weights, which is more capable to handle long sequences of input and is more robust to predict the future trend of stock market. Experimental results on the five real-world datasets of the international stock market illustrate the significant performance superiority of the proposed approach in comparison with five state-of-the-art algorithms.  © 2022 Kan Yi et al.","","Economic and social effects; Electronic trading; Financial markets; Investments; Clusterings; Critical challenges; Index tracking; Learning-based approach; Memory network; Performance; Portfolio managements; Price information; Research areas; Tracking problem; Long short-term memory","J. Yang; School of Computer Science and Technology, Xidian University, Xi'an, China; email: yangjin@stu.xidian.edu.cn","","Hindawi Limited","1024123X","","","","English","Math. Probl. Eng.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85129029015"
"Ivaşcu C.F.","Ivaşcu, Codruȩ Florin (57218364864)","57218364864","Heuristic methods for stock selection and allocation in an index tracking problem","2022","Algorithmic Finance","9","3-4","","103","119","16","1","10.3233/AF-200367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136345804&doi=10.3233%2fAF-200367&partnerID=40&md5=01289355dbcdf37caa0f9ae9c3b27ef8","Bucharest University of Economic Studies, Romania","Ivaşcu C.F., Bucharest University of Economic Studies, Romania","Index tracking is one of the most popular passive strategy in portfolio management. However, due to some practical constrains, a full replication is difficult to obtain. Many mathematical models have failed to generate good results for partial replicated portfolios, but in the last years a data driven approach began to take shape. This paper proposes three heuristic methods for both selection and allocation of the most informative stocks in an index tracking problem, respectively XGBoost, Random Forest and LASSO with stability selection. Among those, latest deep autoencoders have also been tested. All selected algorithms have outperformed the benchmarks in terms of tracking error. The empirical study has been conducted on one of the biggest financial indices in terms of number of components in three different countries, respectively Russell 1000 for the USA, FTSE 350 for the UK, and Nikkei 225 for Japan. © 2022 - IOS Press. All rights reserved.","index tracking; Machine learning; partial replication; stocks selection","","C.F. Ivaşcu; Bucharest University of Economic Studies, Romania; email: ivascucodrut@yahoo.com","","IOS Press BV","21585571","","","","English","Algorithmic Finance","Article","Final","","Scopus","2-s2.0-85136345804"
"Aybat N.S.; Ahmadi H.; Shanbhag U.V.","Aybat, Necdet Serhat (38361191600); Ahmadi, Hesam (56692350000); Shanbhag, Uday V. (22986506600)","38361191600; 56692350000; 22986506600","On the Analysis of Inexact Augmented Lagrangian Schemes for Misspecified Conic Convex Programs","2022","IEEE Transactions on Automatic Control","67","8","","3981","3996","15","0","10.1109/TAC.2021.3118340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119598959&doi=10.1109%2fTAC.2021.3118340&partnerID=40&md5=9c5cb860fbb1df24aaa3fb2ed2bd26d6","The Penn State University, Department of Industrial and Manufacturing Engineering, University Park, 16802, PA, United States; Optym, Gainesville, 32607, FL, United States","Aybat N.S., The Penn State University, Department of Industrial and Manufacturing Engineering, University Park, 16802, PA, United States; Ahmadi H., The Penn State University, Department of Industrial and Manufacturing Engineering, University Park, 16802, PA, United States, Optym, Gainesville, 32607, FL, United States; Shanbhag U.V., The Penn State University, Department of Industrial and Manufacturing Engineering, University Park, 16802, PA, United States","In this article, we consider the misspecified optimization problem of minimizing a convex function f(x;theta*) in x over a conic constraint set represented by h(x;theta*) in mathcal {K}, where theta*is an unknown (or misspecified) vector of parameters, mathcal {K} is a closed convex cone, and h is affine in x. Suppose that theta*is unavailable but may be learnt by a separate process that generates a sequence of estimators thetak, each of which is an increasingly accurate approximation of theta*. We develop a first-order inexact augmented Lagrangian (AL) scheme for computing an optimal solution x*corresponding to theta*while simultaneously learning theta*. In particular, we derive rate statements for such schemes when the penalty parameter sequence is either constant or increasing and derive bounds on the overall complexity in terms of proximal gradient steps when AL subproblems are inexactly solved via an accelerated proximal gradient scheme. Numerical results for a portfolio optimization problem with a misspecified covariance matrix suggest that these schemes perform well in practice, while naive sequential schemes may perform poorly in comparison.  © 1963-2012 IEEE.","Algorithm design and analysis; augmented lagrangian methods; computational complexity; misspecified optimization; optimization methods","Convex optimization; Covariance matrix; Financial data processing; Functions; Lagrange multipliers; Uncertainty analysis; Augmented Lagrangians; Complexity theory; Convex functions; Covariance matrices; Game; Lagrangian scheme; Optimisations; Optimization problems; Portfolio; Uncertainty; Constrained optimization","U.V. Shanbhag; The Penn State University, Department of Industrial and Manufacturing Engineering, University Park, 16802, United States; email: udaybag@psu.edu","","Institute of Electrical and Electronics Engineers Inc.","00189286","","IETAA","","English","IEEE Trans Autom Control","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85119598959"
"Anufriev M.; Chernulich A.; Tuinstra J.","Anufriev, Mikhail (9733864900); Chernulich, Aleksei (57201983712); Tuinstra, Jan (6604066396)","9733864900; 57201983712; 6604066396","Asset price volatility and investment horizons: An experimental investigation","2022","Journal of Economic Behavior and Organization","193","","","19","48","29","3","10.1016/j.jebo.2021.11.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120403943&doi=10.1016%2fj.jebo.2021.11.019&partnerID=40&md5=84aed88695afea1ce7bb341940eea57d","University of Technology Sydney, Business School, Economics Discipline Group, Australia; New York University Abu Dhabi, Center for Behavioral Institutional Design (C-BID), United Arab Emirates; University of Amsterdam, Amsterdam School of Economics, CeNDEF, United Arab Emirates","Anufriev M., University of Technology Sydney, Business School, Economics Discipline Group, Australia; Chernulich A., New York University Abu Dhabi, Center for Behavioral Institutional Design (C-BID), United Arab Emirates; Tuinstra J., University of Amsterdam, Amsterdam School of Economics, CeNDEF, United Arab Emirates","We study the effects of the investment horizon on asset price volatility using a Learning to Forecast laboratory experiment. We find that, for short investment horizons, participants coordinate on self-fulfilling trend-extrapolating predictions. Price deviations are then reinforced and amplified, possibly leading to large bubbles and crashes in asset prices. For longer investment horizons such bubbles do not emerge and price volatility tends to be lower. This is due to the fact that, for longer horizons, there is more dispersion in participants’ forecasts, and participants extrapolate trends in past prices to a lesser extent. We also show that, independent of the investment horizon, if the initial history of asset prices is already relatively stable before participants start their prediction task, price volatility remains small, with prices close to their fundamental values for the duration of the experiment. © 2021 Elsevier B.V.","Asset pricing; Behavioral finance; Expectations; Experimental economics; Investment horizons","","A. Chernulich; New York University Abu Dhabi, Center for Behavioral Institutional Design (C-BID), United Arab Emirates; email: Aleksei.Chernulich@nyu.edu","","Elsevier B.V.","01672681","","JEBOD","","English","J. Econ. Behav. Organ.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85120403943"
"Gerunov A.A.","Gerunov, Anton A. (57190254975)","57190254975","PERFORMANCE OF 109 MACHINE LEARNING ALGORITHMS ACROSS FIVE FORECASTING TASKS: EMPLOYEE BEHAVIOR MODELING, ONLINE COMMUNICATION, HOUSE PRICING, IT SUPPORT AND DEMAND PLANNING","2022","Ikonomicheski Izsledvania","31","2","","15","43","28","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128755192&partnerID=40&md5=2d439dcd7fd3fc8c4b244ce2ea7543dc","Faculty of Economics and Business Administration, Sofia University “St. Kliment Ohridski”, Bulgaria","Gerunov A.A., Faculty of Economics and Business Administration, Sofia University “St. Kliment Ohridski”, Bulgaria","This article puts the problem of forecasting in economic and business situations under scrutiny. Starting from the premise that accurate forecasting is now a key capability for analyzing problems of business operations and public policy, we investigate the performance of alternative prediction methods that include both traditional econometric approaches as well as novel algorithms from the field of machine learning. The article tests a total of 109 different regression-type algorithms across five pertinent business domains-employee absenteeism, success of online communication, real estate asset pricing, support ticket processing, and demand forecasting. The results indicate that forecasting algorithms tend to produce a set of widely dispersed outcome, with some methods such as random forecast and neural network implementations being able to consistently generate superior performance. We further argue that forecast accuracy is not necessarily predicated upon computational complexity and thus, an optimization decision between the costs and benefits of using a certain algorithm can feasibly be made. © 2022, Bulgarska Akademiya na Naukite. All rights reserved.","Algorithms; Forecasting; Machine learning; Neural network; Random forest; Regression","","A.A. Gerunov; Faculty of Economics and Business Administration, Sofia University “St. Kliment Ohridski”, Bulgaria; email: a.gerunov@feb.uni-sofia.bg","","Bulgarska Akademiya na Naukite","02053292","","","","English","Econ. Stud.","Article","Final","","Scopus","2-s2.0-85128755192"
"Deng Q.; Liu Z.; Zhang S.","Deng, Qingyuan (57896244400); Liu, Zhou (57896244500); Zhang, Shunming (35520539300)","57896244400; 57896244500; 35520539300","Asset pricing with overconfident traders and information correlation ambiguity; [交易者过度自信与信相关性暧昧的资产定]","2022","Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice","42","7","","1755","1769","14","4","10.12011/SETP2021-1998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138266563&doi=10.12011%2fSETP2021-1998&partnerID=40&md5=7c9006a395b66addf54f5256bce32fea","School of Finance, Renmin University of China, Beijing, 100872, China","Deng Q., School of Finance, Renmin University of China, Beijing, 100872, China; Liu Z., School of Finance, Renmin University of China, Beijing, 100872, China; Zhang S., School of Finance, Renmin University of China, Beijing, 100872, China","In this paper we adopt a rational-expectations equilibrium model, supposing traders are overconfident, believe they obtain the most unique message, and overestimate counterparties' information correlation. Meanwhile, information correlation is ambiguous. Under such emotion, traders are less likely to learn from price as they underestimate the amount of information reflected in their opponents' signals, which mitigates free-riding behavior and increases trading volume. Under ambiguous environment and with risk asset price rising, traders' sentiment develops in five stages:Blind confident (with price at the top), wait and see, cautiously optimistic, wait and see, and blind confident (with price at the bottom). It is shown that, though overconfidence intensifies return's excessive volatility, it plays a dominant role in enhancing equity premium when the market is fully competitive, and thus improving social welfare. It is particularly effective at the end of a bear market and the beginning of a reversal when traders reveal blind confident. Besides, overconfidence degree affects the price momentum, but has no impact on the market efficiency. Finally, when traders are blind confident, information correlation ambiguity increases their confidence level, excessive investment and social welfare; when traders are cautiously optimistic, it has an opposite effect. © 2022 Systems Engineering Society of China. All rights reserved.","correlation ambiguity; overconfidence; rational-expectations equilibrium; signal learning; social welfare","Commerce; Asset pricing; Correlation ambiguity; Equilibrium modelling; Information correlation; Optimistics; Overconfidence; Rational expectations; Rational-expectation equilibrium; Signal learning; Social welfare; Investments","S. Zhang; School of Finance, Renmin University of China, Beijing, 100872, China; email: szhang@ruc.edu.cn","","Systems Engineering Society of China","10006788","","XGLSE","","Chinese","Xitong Gongcheng Lilum yu Shijian","Article","Final","","Scopus","2-s2.0-85138266563"
"Ma S.; Ma X.; Xia L.","Ma, Shuai (57427287700); Ma, Xiaoteng (57208589582); Xia, Li (55260428300)","57427287700; 57208589582; 55260428300","An optimistic value iteration for mean–variance optimization in discounted Markov decision processes","2022","Results in Control and Optimization","8","","100165","","","","4","10.1016/j.rico.2022.100165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135121219&doi=10.1016%2fj.rico.2022.100165&partnerID=40&md5=c7b660976e85824bd6e0cb80a80c2988","School of Business, Sun Yat-sen University, Guangzhou, 510275, China; Department of Automation, Tsinghua University, Beijing, 100086, China","Ma S., School of Business, Sun Yat-sen University, Guangzhou, 510275, China; Ma X., Department of Automation, Tsinghua University, Beijing, 100086, China; Xia L., School of Business, Sun Yat-sen University, Guangzhou, 510275, China","This paper proposes an optimistic value iteration for steady-state mean–variance optimization in infinite-horizon discounted Markov decision processes (MDPs). The involved variance metric concerns reward variability in the long run, and future deviations are discounted to their present values. This mean–variance optimality criterion is time-inconsistent since its reward function depends on the mean, which renders traditional dynamic programming methods inapplicable. A family of policy/value iteration algorithms can be developed under a bilevel optimization algorithm framework, but there are still several problems to solve for a reinforcement learning (RL) extension. One problem is that in the value iteration, the inner optimization should achieve a near-optimal solution to ensure convergence before the outer update, which is required in every outer iteration. However, in an RL scenario, it is impractical to determine when the inner optimization should be stopped. To deal with this problem, we propose an optimistic value iteration, where the outer updates can be merged into the inner optimization with a learning rate. We prove the algorithm convergence and conduct a numerical experiment on portfolio management to validate the proposed algorithm. © 2022 The Author(s)","Markov decision process; Mean–variance; Value iteration","","L. Xia; School of Business, Sun Yat-sen University, Guangzhou, 510275, China; email: xiali5@sysu.edu.cn","","Elsevier B.V.","26667207","","","","English","Result. Control. Optim.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85135121219"
